,Name,Net_worth_USD,Age,Nationality,Primary_source_of_wealth
0,Walton family,$22000.9 billion,_,United States,Wal-Mart
1,Bill Gates,$18.0 billion,41,United States,Microsoft
2,Warren Buffett,$15000.3 billion,65,United States,Berkshire Hathaway
3,"Oeri, Hoffman & Sacher families",$13.1 billion,_,Switzerland,Roche[57]
4,Lee Shau-kee,$12.7 billion,68,Hong Kong,Henderson Land Development[53]
5,Tsai Wan-lin & family,$12.2 billion,72,Taiwan,Cathay Life Insurance[56]
6,Kwok brothers,$11.2 billion,_,Hong Kong,Sun Hung Kai Properties[54]
7,Li Ka-shing & family,$10.6 billion,68,Hong Kong,CK Asset Holdings[49]
8,Yoshiaki Tsutsumi,$9.2 billion,62,Japan,Seibu Railway[58]
9,Karl and Theo Albrecht,$9.0 billion,76,Germany,Aldi[59]
